Name,Key,Value,Type,Source,Category,Status
"Optin_Email_Body 15","Optin_Email_Body 15","<div style=""font-family: Arial, sans-serif; font-size: 16px; line-height: 1.6; color: #333333;""><p style=""margin: 0 0 15px 0;"">Hi {{contact.first_name}},</p>
<p style=""margin: 0 0 15px 0;"">Quick note because it’s the final day of this sequence.</p>
<p style=""margin: 0 0 15px 0;"">If you’ve been living in “I’ll deal with it after this client launch / after this hire / after this quarter”… you already know what happens.</p>
<p style=""margin: 0 0 15px 0;"">The business keeps growing.<br>And you stay the operating system.</p>
<p style=""margin: 0 0 15px 0;"">The Bottleneck Breakout Sprint is for the founder who has proven they can sell—but can’t scale without personally absorbing the cost:</p>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">You’re the strategist on every account</li>
<li style=""margin: 5px 0;"">You’re the final QA gate</li>
<li style=""margin: 5px 0;"">You’re the escalation path for the team</li>
<li style=""margin: 5px 0;"">You’re the one who makes things “actually happen”</li>
</ul>
<p style=""margin: 0 0 15px 0;"">This isn’t a willpower problem.<br>It’s an operating model problem.</p>
<p style=""margin: 0 0 15px 0;"">On the call, we’ll:</p>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Identify the single bottleneck creating most of the chaos</li>
<li style=""margin: 5px 0;"">Map the fastest fix (not 12 new initiatives)</li>
<li style=""margin: 5px 0;"">Decide if the Sprint is the right fit to implement it quickly</li>
</ul>
<p style=""margin: 0 0 15px 0;"">The goal is simple: more capacity, less firefighting, and a business that can deliver consistently without you being on Slack at dinner.</p>
<p style=""margin: 0 0 15px 0;"">If you want 2026 to feel different than 2025, don’t wait for “someday.”</p>
<p style=""margin: 0 0 15px 0;"">Book your call here: [Schedule Link]</p></div>",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Preheader 8","Optin_Email_Preheader 8","A call isn’t a pitch—think of it as a clarity sprint.",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Preheader 15","Optin_Email_Preheader 15","Today’s the last day to book your Bottleneck Breakout Sprint call.",unknown,"not mapped",📄 Other,Filled
"optin_logo_image","optin_logo_image","https://www.logomaker.com/wp-content/uploads/2019/03/horizontal.png",unknown,"not mapped",🎯 Optin Page,Filled
"optin_mockup_image","optin_mockup_image","n",unknown,"not mapped",🎯 Optin Page,Filled
"optin_cta_text","optin_cta_text","Watch Free Training",unknown,"not mapped",🎯 Optin Page,Filled
"optin_sub_headline_text","optin_sub_headline_text","Transform your body and mind without sacrificing your success.",unknown,"not mapped",🎯 Optin Page,Filled
"optin_headline_text","optin_headline_text","Reclaim Your Energy: The Busy Executive's Guide to Health and Vitality",unknown,"not mapped",🎯 Optin Page,Filled
"company_name","company_name","Peak Executive Performance",unknown,"not mapped",📄 Other,Filled
"company_address","company_address","123 Wellness Blvd, Austin, TX 78701",unknown,"not mapped",📄 Other,Filled
"company_telephone","company_telephone","+1 (512) 555-0199",unknown,"not mapped",📄 Other,Filled
"company_support_email","company_support_email","support@peakexec.com",unknown,"not mapped",📄 Other,Filled
"questionnaire_hero_headline","questionnaire_hero_headline","Let's Find the Perfect Solution for You",unknown,"not mapped",❓ Questionnaire,Filled
"questionnaire_form_headline","questionnaire_form_headline","Tell Us About Your Goals",unknown,"not mapped",❓ Questionnaire,Filled
"booking_calender_headline","booking_calender_headline","Book Your Scale Strategy Session",unknown,"not mapped",📅 Booking,Filled
"thankyou_page_headline","thankyou_page_headline","You're In! Here's What Happens Next...",unknown,"not mapped",📄 Other,Filled
"thankyou_page_sub_headline","thankyou_page_sub_headline","Watch the video below to prepare for your session",unknown,"not mapped",📄 Other,Filled
"thankyou_page_testimonial_headline","thankyou_page_testimonial_headline","What Others Are Saying...",unknown,"not mapped",📄 Other,Filled
"vsl_cta_headline","vsl_cta_headline","Book Your Scale Strategy Session",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_cta_sub_headline","vsl_cta_sub_headline","Take the first step toward transformation",unknown,"not mapped",🎬 VSL Page,Filled
"optin_cta_background_color","optin_cta_background_color","#0891b2",unknown,"not mapped",🎯 Optin Page,Filled
"vsl_hero_acknowledgement_pill","vsl_hero_acknowledgement_pill","FREE TRAINING",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_hero_headline","vsl_hero_headline","Are you tired of being the bottleneck in your agency? Every client needs you, and it feels like you can't take a break without everything falling apart.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_hero_sub_headline","vsl_hero_sub_headline","What if I told you that working harder isn't the answer? Many agency owners believe they need to be involved in every detail to succeed.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_hero_cta_question_headline","vsl_hero_cta_question_headline","Are You Ready to See Real Results?",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_hero_timer_headline","vsl_hero_timer_headline","We only take on a limited number of new clients each month to ensure everyone gets the support they need.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_testimonial_headline","vsl_testimonial_headline","Real Results From Real People",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_testimonial_sub_headline","vsl_testimonial_sub_headline","John, a tech CEO, went from feeling exhausted and overweight to losing twenty-five pounds in just ninety days.",unknown,"not mapped",🎬 VSL Page,Filled
"optin_header_bgcolor","optin_header_bgcolor","#131314",unknown,"not mapped",🎯 Optin Page,Filled
"footer_bgcolor","footer_bgcolor","#0e0e0f",unknown,"not mapped",📄 Other,Filled
"optin_popup_headline","optin_popup_headline","Yes! Send Me the Free Training",unknown,"not mapped",🎯 Optin Page,Filled
"vsl_hero_acknowledgement_pill_bgcolor","vsl_hero_acknowledgement_pill_bgcolor","#36454F",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_cta_bgcolor","vsl_cta_bgcolor","#0891b2",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_headline","vsl_faq_headline","Frequently Asked Questions",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_ques_1","vsl_faq_ques_1","I don't have time",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_answer_1","vsl_faq_answer_1","I understand that you're busy. That's exactly why this program is crucial. Investing time now to build systems means you'll save countless hours later.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_ques_2","vsl_faq_ques_2","It's too expensive",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_ques_3","vsl_faq_ques_3","I've tried things before",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_ques_4","vsl_faq_ques_4","I'm not ready yet",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_ques_5","vsl_faq_ques_5","Why a call vs just buy?",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_ques_6","vsl_faq_ques_6","I don't have time",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_ques_7","vsl_faq_ques_7","I can't afford it / It's too expensive",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_answer_2","vsl_faq_answer_2","Think of this as an investment in your future. The revenue you can generate by scaling your agency will far exceed the cost of this program.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_answer_3","vsl_faq_answer_3","This approach is different because it focuses on building a strong foundation before scaling. Many have found success where others have failed.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_answer_4","vsl_faq_answer_4","Consider the cost of waiting. Every month you delay is potential revenue lost and more stress added to your plate.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_answer_5","vsl_faq_answer_5","A consultation allows us to understand your specific challenges and ensure the program is the right fit for your unique situation.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_answer_6","vsl_faq_answer_6","This system is designed for busy professionals. Most clients spend just three to five hours per week, and the templates cut your work in half. Plus, think about all the time you're currently wasting on strategies that don't work.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_answer_7","vsl_faq_answer_7","One new client at your price point covers the entire investment. Most of our clients see ROI within thirty to sixty days. The real question is: can you afford NOT to have a system that works?",unknown,"not mapped",🎬 VSL Page,Filled
"optin_headline_text_color","optin_headline_text_color","#0891b2",unknown,"not mapped",🎯 Optin Page,Filled
"optin_popup_headline_color","optin_popup_headline_color","#0891b2",unknown,"not mapped",🎯 Optin Page,Filled
"optin_cta_text_color","optin_cta_text_color","#ffffff",unknown,"not mapped",🎯 Optin Page,Filled
"optin_sub_headline_text_color","optin_sub_headline_text_color","#06b6d4",unknown,"not mapped",🎯 Optin Page,Filled
"vsl_bio_headline","vsl_bio_headline","Meet Your Guide",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_bio_founder_name","vsl_bio_founder_name","Coach Michael Steele",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_hero_acknowledgement_pill_color","vsl_hero_acknowledgement_pill_color","#ffffff",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_bio_image","vsl_bio_image","https://www.tckpublishing.com/wp-content/uploads/2021/07/stephen-king-new-author-photo.jpeg",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_bio_description","vsl_bio_description","Freedom Property Academy is a real estate investing and wealth-building education company known for helping high-earning W2 professionals turn active income into passive cash flow through disciplined, repeatable real estate execution. The Academy is best recognized for its BRRRR Mastery Method—Buy, Rehab, Rent, Refinance, Repeat—paired with proprietary market analysis tools that surface undervalued properties and create forced appreciation, even in competitive markets. Built by a former software engineer who earned $200K yet felt trapped trading time for a paycheck, the program was born from a data-driven breakthrough: analyze 50 deals to find 5 worth pursuing to land 1 winner. That systematic approach—spreadsheets, checklists, and underwriting rigor—turned real estate from “gambling” into a science. The model proved itself when a pivotal acquisition created $80,000 in forced equity and a refinance funded the next two purchases. Today, Freedom Property Academy drives working professionals to buy their first (or next) investment property with confidence through the Real Estate Freedom Blueprint, a 16-week intensive that combines training, tools, and community support.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_hero_cta_question_headline_color","vsl_hero_cta_question_headline_color","#000080",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_hero_headline_color","vsl_hero_headline_color","#0891b2",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_hero_sub_headline_color","vsl_hero_sub_headline_color","#06b6d4",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_hero_timer_headline_color","vsl_hero_timer_headline_color","#ef4444",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_testimonial_headline_color","vsl_testimonial_headline_color","#000080",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_testimonial_sub_headline_color","vsl_testimonial_sub_headline_color","#36454F",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_cta_headline_color","vsl_cta_headline_color","#ffffff",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_bio_headline_colour","vsl_bio_headline_colour","#0891b2",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_bio_founder_name_colour","vsl_bio_founder_name_colour","#06b6d4",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_bio_description_colour","vsl_bio_description_colour","#a1a1aa",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_headline_color","vsl_faq_headline_color","#0891b2",unknown,"not mapped",🎬 VSL Page,Filled
"questionnaire_form_headline_color","questionnaire_form_headline_color","#06b6d4",unknown,"not mapped",❓ Questionnaire,Filled
"questionnaire_hero_headline_color","questionnaire_hero_headline_color","#0891b2",unknown,"not mapped",❓ Questionnaire,Filled
"thankyou_page_headline_color","thankyou_page_headline_color","#0891b2",unknown,"not mapped",📄 Other,Filled
"thankyou_page_sub_headline_color","thankyou_page_sub_headline_color","#06b6d4",unknown,"not mapped",📄 Other,Filled
"thankyou_page_testimonial_headline_color","thankyou_page_testimonial_headline_color","#000080",unknown,"not mapped",📄 Other,Filled
"vsl_cta_sub_headline_text_color","vsl_cta_sub_headline_text_color","#e5e5e5",unknown,"not mapped",🎬 VSL Page,Filled
"footer_text_color","footer_text_color","#a1a1aa",unknown,"not mapped",📄 Other,Filled
"vsl_faq_ques_color","vsl_faq_ques_color","#0891b2",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_faq_answer_color","vsl_faq_answer_color","#a1a1aa",unknown,"not mapped",🎬 VSL Page,Filled
"thankyou_testimonial_bgcolor","thankyou_testimonial_bgcolor","#1b1b1d",unknown,"not mapped",📄 Other,Filled
"booking_calender_headline_color","booking_calender_headline_color","#0891b2",unknown,"not mapped",📅 Booking,Filled
"booking_calender_headline_pill_color","booking_calender_headline_pill_color","#06b6d4",unknown,"not mapped",📅 Booking,Filled
"questionnaire_hero_headline_pill_bgcolor","questionnaire_hero_headline_pill_bgcolor","#0891b2",unknown,"not mapped",❓ Questionnaire,Filled
"questionnaire_form_bgcolor","questionnaire_form_bgcolor","#1b1b1d",unknown,"not mapped",❓ Questionnaire,Filled
"vsl_process_headline","vsl_process_headline","Here's How It Works...",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_process_sub_headline","vsl_process_sub_headline","",unknown,"not mapped",🎬 VSL Page,Empty
"vsl_process_description_pt_1","vsl_process_description_pt_1","Understanding the importance of health in your life.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_process_description_pt_2","vsl_process_description_pt_2","Using a structured approach to regain your health.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_process_description_pt_3","vsl_process_description_pt_3","Receiving support to stay on track.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_process_description_pt_4","vsl_process_description_pt_4","Witnessing the positive changes in your life.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_process_description_pt_5","vsl_process_description_pt_5","Set a strict bedtime and wake-up time, even on weekends.",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_process_headline_color","vsl_process_headline_color","#0891b2",unknown,"not mapped",🎬 VSL Page,Filled
"vsl_process_sub_headline_color","vsl_process_sub_headline_color","#06b6d4",unknown,"not mapped",🎬 VSL Page,Filled
"VSL_Process_Description_color","VSL_Process_Description_color","#a1a1aa",unknown,"not mapped",📄 Other,Filled
"VSL_Process_Border_color","VSL_Process_Border_color","#0891b2",unknown,"not mapped",📄 Other,Filled
"Question_1","Question_1","Question_1 ?",unknown,"not mapped",📄 Other,Filled
"Question_2","Question_2","Question_2 ?",unknown,"not mapped",📄 Other,Filled
"Question_3","Question_3","Question_3 ?",unknown,"not mapped",📄 Other,Filled
"Question_4","Question_4","Question_4 ?",unknown,"not mapped",📄 Other,Filled
"Question_5","Question_5","Question_5 ?",unknown,"not mapped",📄 Other,Filled
"Question_6","Question_6","Question_6 ?",unknown,"not mapped",📄 Other,Filled
"Question_7","Question_7","Question_7 ?",unknown,"not mapped",📄 Other,Filled
"Question_8","Question_8","Question_8 ?",unknown,"not mapped",📄 Other,Filled
"Question_9","Question_9","Question_9 ?",unknown,"not mapped",📄 Other,Filled
"Question_10","Question_10","Question_10 ?",unknown,"not mapped",📄 Other,Filled
"Questionnaire_CTA_color","Questionnaire_CTA_color","#0891b2",unknown,"not mapped",📄 Other,Filled
"VSL_FAQ_ques_background_Color","VSL_FAQ_ques_background_Color","#00FF00",unknown,"not mapped",📄 Other,Filled
"VSL_FAQ_answer_background_Color","VSL_FAQ_answer_background_Color","#2E8B57",unknown,"not mapped",📄 Other,Filled
"VSL_FAQ_full_background_color","VSL_FAQ_full_background_color","#808080",unknown,"not mapped",📄 Other,Filled
"Testimonial_1_image","Testimonial_1_image","https://images.unsplash.com/photo-1544005313-94ddf0286df2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wyNzQ4Mjd8MHwxfHNlYXJjaHwzfHxwZXJzb258ZW58MHx8fHwxNzY3NTQ2ODg0fDA&ixlib=rb-4.1.0&q=80&w=1080",unknown,"not mapped",📄 Other,Filled
"Testimonial_2_image","Testimonial_2_image","https://images.unsplash.com/photo-1544005313-94ddf0286df2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wyNzQ4Mjd8MHwxfHNlYXJjaHwzfHxwZXJzb258ZW58MHx8fHwxNzY3NTQ2ODg0fDA&ixlib=rb-4.1.0&q=80&w=1080",unknown,"not mapped",📄 Other,Filled
"Testimonial_3_image","Testimonial_3_image","https://images.unsplash.com/photo-1544005313-94ddf0286df2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wyNzQ4Mjd8MHwxfHNlYXJjaHwzfHxwZXJzb258ZW58MHx8fHwxNzY3NTQ2ODg0fDA&ixlib=rb-4.1.0&q=80&w=1080",unknown,"not mapped",📄 Other,Filled
"Testimonial_4_image","Testimonial_4_image","https://images.unsplash.com/photo-1544005313-94ddf0286df2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wyNzQ4Mjd8MHwxfHNlYXJjaHwzfHxwZXJzb258ZW58MHx8fHwxNzY3NTQ2ODg0fDA&ixlib=rb-4.1.0&q=80&w=1080",unknown,"not mapped",📄 Other,Filled
"Testimonial_1_heading","Testimonial_1_heading","Testimonial_1",unknown,"not mapped",📄 Other,Filled
"Testimonial_1_paragraph","Testimonial_1_paragraph","Testimonial_1",unknown,"not mapped",📄 Other,Filled
"Testimonial_2_heading","Testimonial_2_heading","Testimonial_2",unknown,"not mapped",📄 Other,Filled
"Testimonial_2_paragraph","Testimonial_2_paragraph","Testimonial_2",unknown,"not mapped",📄 Other,Filled
"Testimonial_3_heading","Testimonial_3_heading","Testimonial_3",unknown,"not mapped",📄 Other,Filled
"Testimonial_4_heading","Testimonial_4_heading","Testimonial_4",unknown,"not mapped",📄 Other,Filled
"Testimonial_3_paragraph","Testimonial_3_paragraph","Testimonial_3_paragraph",unknown,"not mapped",📄 Other,Filled
"Testimonial_4_paragraph","Testimonial_4_paragraph","Testimonial_4_paragraph",unknown,"not mapped",📄 Other,Filled
"Access Token","Access Token","EAAEuCX1RsbQBO7obYQp4ornffiZCUukdZCgGxWTgynCbuc01ZBoaDxWZCivMgmOFYj0v9RzxZA1ZAnwYkaBGfrNuqsvGzcNIheHVsCl7NgdgQ7wPXH4ZAMRS7QwkIUSwTrGaRskZBOIUGOspAKKp8ZAoOQEE6xgejp4viUWJjxIWa9rxhbpbj9yJdiZBENwJICai5LrQZDZD",unknown,"not mapped",📄 Other,Filled
"Dataset ID","Dataset ID","1183048438379195",unknown,"not mapped",📄 Other,Filled
"02 VSL Acknowledge Pill Text","02 VSL Acknowledge Pill Text","You're in—your access is confirmed. Watch the video below.",unknown,"not mapped",📄 Other,Filled
"02 VSL Acknowledge Pill Text Colour","02 VSL Acknowledge Pill Text Colour","#FFFFFF",unknown,"not mapped",📄 Other,Filled
"02 VSL Acknowledge Pill bg Colour","02 VSL Acknowledge Pill bg Colour","#0e0e0f",unknown,"not mapped",📄 Other,Filled
"02 VSL hero Headline text","02 VSL hero Headline text","A clear, repeatable way to build a self-managing delivery team and recurring revenue—so $15K–$50K/month agencies can reach consistent $100K+ months without 60+ hour weeks.",unknown,"not mapped",📄 Other,Filled
"02 VSL CTA Text","02 VSL CTA Text","Schedule Your Session",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Sub -Headline Text","02 VSL Process Sub -Headline Text","For coaches, consultants, and service businesses",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Headline Text","02 VSL Process Headline Text","Here's How It Works",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Bullet 1 Text","02 VSL Process Bullet 1 Text","Step 1: Get started with our proven system",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Bullet 2 Text","02 VSL Process Bullet 2 Text","Step 2: Implement the strategies that work",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Bullet 3 Text","02 VSL Process Bullet 3 Text","Step 3: Scale your results consistently",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Bullet 4 Text","02 VSL Process Bullet 4 Text","Step 4: Achieve your goals faster",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Bullet 5 Text","02 VSL Process Bullet 5 Text","Step 5: Maintain long-term success",unknown,"not mapped",📄 Other,Filled
"02 VSL Audience Callout Headline Text","02 VSL Audience Callout Headline Text","This Is For Qualified Decision-Makers Only",unknown,"not mapped",📄 Other,Filled
"02 VSL Audience Callout Bullet 1 Text","02 VSL Audience Callout Bullet 1 Text","You’ve tried to “just be consistent,” but you keep falling off after a few days—and you’re tired of blaming yourself when the real issue is you don’t have a clear, simple plan.",unknown,"not mapped",📄 Other,Filled
"02 VSL Audience Callout Bullet 2 Text","02 VSL Audience Callout Bullet 2 Text","You’re overwhelmed by conflicting advice, so you bounce between tactics, tools, or routines—spending time researching instead of actually making progress.",unknown,"not mapped",📄 Other,Filled
"02 VSL Audience Callout Bullet 3 Text","02 VSL Audience Callout Bullet 3 Text","You feel like you’re working hard but not getting results, and you want something practical you can follow without needing more willpower, more hours, or a total life overhaul.",unknown,"not mapped",📄 Other,Filled
"02 VSL Audience Callout CTA Text","02 VSL Audience Callout CTA Text","See If This Fits",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonials Headline Text","02 VSL Testimonials Headline Text","What Clients Commonly Experience",unknown,"not mapped",📄 Other,Filled
